cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.3,1.3,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.555789052,-1.144048622,-0.807163603,-0.033481424,-1.653515205,-0.027748492,-1.78462589,-0.059133405,-0.376303314,-2.106230412,-0.288830303,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.3,13.5,-1,0,7.4,5.8,25.5,2.1,1.9,-5.590559381,-1.207454742,-0.869447736,-0.034705068,-1.605366363,-0.029057478,-1.78338593,-0.059085714,-0.37587849,-2.102643565,-0.288242954,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.3,13.5,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.540007176,-1.117921615,-0.783823996,-0.032983181,-1.671000144,-0.027223894,-1.782737085,-0.059141562,-0.376425051,-2.107563871,-0.289031734,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.3,13.5,-0.7,0,7.4,5.8,25.5,2.1,1.9,-5.57052236,-1.169753941,-0.83146832,-0.033974646,-1.63499864,-0.028270581,-1.785164293,-0.059113952,-0.376148947,-2.104837968,-0.288606282,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.7_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.2,1.2,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.319445568,-0.783101104,-0.457826276,-0.035857176,-1.76925566,-0.031745731,-1.808657013,-0.065439253,-0.41931536,-2.081290655,-0.310178821,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.2_cz=13.4.log
0.2,1.2,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.396398375,-0.9829781,-0.773281828,-0.033736193,-1.703212742,-0.029784135,-1.731534779,-0.061578184,-0.389854393,-2.026614454,-0.291087456,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.2_cz=13.5.log
0.2,1.2,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.335519237,-1.07617212,-0.94286013,-0.031738201,-1.627506171,-0.02793047,-1.650926099,-0.057939253,-0.362304821,-1.963732932,-0.272975635,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.2_cz=13.6.log
0.2,1.3,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.458927863,-0.934260733,-0.579771549,-0.034599646,-1.739536786,-0.030617468,-1.853303094,-0.063621984,-0.427121584,-2.085624239,-0.296515418,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.3_cz=13.4.log
0.2,1.3,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.515138954,-1.086349077,-0.856037847,-0.032581574,-1.695873385,-0.028752508,-1.785003651,-0.059890182,-0.396883132,-2.03767871,-0.278387909,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.3_cz=13.5.log
0.2,1.3,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.437848862,-1.143108611,-0.996617657,-0.030680219,-1.635597285,-0.026989833,-1.710483073,-0.056376126,-0.36866087,-1.979886921,-0.261186605,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.3_cz=13.6.log
0.2,1.4,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.47760915,-1.052504953,-0.667961177,-0.033386042,-1.608690911,-0.029533131,-1.843699681,-0.061824795,-0.43468308,-2.080008024,-0.283205303,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.4_cz=13.4.log
0.2,1.4,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.534637573,-1.16434857,-0.912398285,-0.031472136,-1.604068673,-0.027753512,-1.793444915,-0.05822226,-0.403666515,-2.039995477,-0.266010274,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.4_cz=13.5.log
0.2,1.4,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.457735595,-1.189875677,-1.028545366,-0.029662398,-1.57316255,-0.026083081,-1.732686887,-0.054829941,-0.374780975,-1.988390937,-0.249725762,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.2_cy=1.4_cz=13.6.log
0.3,1.2,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.37663934,-0.878541611,-0.403579292,-0.036814757,-1.737479808,-0.030665159,-1.798114845,-0.064531873,-0.39705256,-2.14982667,-0.322630501,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.2_cz=13.4.log
0.2,1.2,13.4,-1,0,7.4,5.8,25.5,2.1,1.9,-5.395804123,-0.889795375,-0.542410859,-0.037177457,-1.738446174,-0.033133783,-1.810598529,-0.065379012,-0.418874848,-2.076128758,-0.309640417,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=0.2_cy=1.2_cz=13.4.log
0.3,1.2,13.5,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.464272994,-1.044354853,-0.737527563,-0.034661142,-1.67797931,-0.028741213,-1.720498133,-0.060766813,-0.369807331,-2.109504132,-0.30231361,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.2_cz=13.5.log
0.2,1.2,13.4,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.288514345,-0.741050404,-0.427429691,-0.035320028,-1.779125137,-0.031184737,-1.805883419,-0.065461843,-0.419444627,-2.083255389,-0.310355778,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=0.2_cy=1.2_cz=13.4.log
0.3,1.2,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.411051361,-1.115762981,-0.919593315,-0.03263805,-1.605598542,-0.026942769,-1.639863098,-0.057228285,-0.344289637,-2.056182097,-0.283151965,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.2_cz=13.6.log
0.3,1.3,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.480583861,-1.025695216,-0.507463572,-0.035523341,-1.685902252,-0.029573291,-1.855563385,-0.06276857,-0.404190486,-2.135768563,-0.307995713,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.3_cz=13.4.log
0.2,1.2,13.4,-0.7,0,7.4,5.8,25.5,2.1,1.9,-5.350259446,-0.825596082,-0.490267288,-0.03638805,-1.75798809,-0.032301705,-1.810308619,-0.065419172,-0.41916413,-2.079269445,-0.309981782,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.7_A2=0_cx=0.2_cy=1.2_cz=13.4.log
0.2,1.2,13.5,-1,0,7.4,5.8,25.5,2.1,1.9,-5.444852814,-1.05295425,-0.828359636,-0.035022588,-1.679106318,-0.031129516,-1.734516706,-0.061519825,-0.389459689,-2.022755267,-0.290573526,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=0.2_cy=1.2_cz=13.5.log
0.3,1.3,13.6,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.492124397,-1.178955748,-0.963687187,-0.031554968,-1.599682378,-0.026029115,-1.708498887,-0.055708455,-0.350197016,-2.061331444,-0.270683341,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.3_cz=13.6.log
0.2,1.2,13.5,-0.3,0,7.4,5.8,25.5,2.1,1.9,-5.376409671,-0.955638744,-0.753452512,-0.033217869,-1.710985081,-0.029243221,-1.72850516,-0.061595127,-0.389964207,-2.028069649,-0.291259394,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.3_A2=0_cx=0.2_cy=1.2_cz=13.5.log
0.2,1.2,13.5,-0.7,0,7.4,5.8,25.5,2.1,1.9,-5.416080853,-1.010722827,-0.79441762,-0.034254516,-1.694361086,-0.030322538,-1.73352273,-0.061558103,-0.38971383,-2.025112195,-0.290896066,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.7_A2=0_cx=0.2_cy=1.2_cz=13.5.log
0.3,1.4,13.4,-0.5,0,7.4,5.8,25.5,2.1,1.9,-5.46214699,-1.141537327,-0.578555435,-0.034284636,-1.523176358,-0.028521585,-1.870193153,-0.061018445,-0.411074898,-2.108040779,-0.293878621,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.5_A2=0_cx=0.3_cy=1.4_cz=13.4.log
0.2,1.2,13.6,-1,0,7.4,5.8,25.5,2.1,1.9,-5.364722297,-1.122530049,-0.977836283,-0.032993221,-1.606754415,-0.029233181,-1.654201701,-0.057884032,-0.36194965,-1.960639307,-0.272474882,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-1.0_A2=0_cx=0.2_cy=1.2_cz=13.6.log
