cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.3,1.3,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.574047711,-1.176111873,-0.837678159,-0.034098894,-1.630208229,-0.028401103,-1.785086482,-0.059111442,-0.376109414,-2.104485307,-0.288549178,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.3_cz=13.5.log
0.4,1.3,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.565354187,-1.229697461,-0.792612901,-0.034954817,-1.578894226,-0.027384536,-1.779888189,-0.058324545,-0.356578165,-2.129529859,-0.299205553,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.4_cy=1.3_cz=13.5.log
0.3,1.4,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.555690533,-1.249244398,-0.88889176,-0.032944275,-1.499688659,-0.027420932,-1.804140196,-0.057488073,-0.382339333,-2.089231794,-0.275466222,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.4_cz=13.5.log
0.2,1.4,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.544266086,-1.197079492,-0.951080511,-0.032083331,-1.570510693,-0.028389808,-1.778316904,-0.058191512,-0.403478262,-2.038087219,-0.265778723,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.2_cy=1.4_cz=13.5.log
0.2,1.3,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.534500148,-1.119769005,-0.888778809,-0.033211594,-1.67576922,-0.029400098,-1.781136934,-0.059868219,-0.396698644,-2.035750372,-0.278150083,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.2_cy=1.3_cz=13.5.log
0.4,1.3,13.6,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.518375023,-1.232607853,-0.952949236,-0.032986946,-1.537831227,-0.025682729,-1.703136186,-0.054985564,-0.332494331,-2.108277977,-0.280020062,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.4_cy=1.3_cz=13.6.log
0.4,1.2,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.517775124,-1.141759465,-0.729544381,-0.036179717,-1.628895478,-0.028372237,-1.711254911,-0.059910262,-0.350574777,-2.155621725,-0.313665266,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.4_cy=1.2_cz=13.5.log
0.3,1.3,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.510176291,-1.075342552,-0.552912866,-0.036160891,-1.655840757,-0.030247865,-1.85489948,-0.06274347,-0.403979015,-2.133048307,-0.307703294,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.3_cz=13.4.log
0.4,1.4,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.505664181,-1.295668843,-0.830284836,-0.033773843,-1.424919588,-0.026434486,-1.817770968,-0.056740709,-0.362341217,-2.086851649,-0.285304324,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.4_cy=1.4_cz=13.5.log
0.3,1.3,13.6,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.502414307,-1.199582002,-0.983954505,-0.032151102,-1.580283533,-0.02665788,-1.70966229,-0.05568461,-0.350026333,-2.060139175,-0.270418532,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.3_cz=13.6.log
0.2,1.4,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.49902387,-1.103934417,-0.725208287,-0.034014807,-1.56656993,-0.030188251,-1.824965998,-0.061794047,-0.434467216,-2.07735554,-0.282966222,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.2_cy=1.4_cz=13.4.log
0.3,1.4,13.6,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.491604819,-1.241334007,-1.012083269,-0.031089355,-1.486210999,-0.025763051,-1.740840752,-0.054179841,-0.355681453,-2.054800948,-0.258281861,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.4_cz=13.6.log
0.2,1.3,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.491538931,-0.986168361,-0.628998454,-0.035242217,-1.714012189,-0.031291414,-1.847828697,-0.063594374,-0.426912623,-2.082988697,-0.296272571,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.2_cy=1.3_cz=13.4.log
0.3,1.2,13.5,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.48723986,-1.079599579,-0.760351357,-0.035298693,-1.663600546,-0.029421434,-1.725996375,-0.060750498,-0.36962096,-2.107715101,-0.302019308,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.2_cz=13.5.log
0.3,1.4,13.4,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.481643098,-1.188685918,-0.634017279,-0.034902106,-1.476859845,-0.029176705,-1.858032009,-0.060992717,-0.410855897,-2.105358173,-0.293599379,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.3_cy=1.4_cz=13.4.log
0.4,1.4,13.6,-0.75,0,7.4,5.8,25.5,2.1,1.9,-5.474822064,-1.268451224,-0.970955008,-0.031892568,-1.425014969,-0.024820531,-1.750336233,-0.053515935,-0.337719607,-2.080649967,-0.267201288,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=-0.75_A2=0_cx=0.4_cy=1.4_cz=13.6.log
