cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
0.3,1.4,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.519119878,-1.155381452,-0.777700753,-0.031132026,-1.604425098,-0.025515812,-1.823277996,-0.057531372,-0.382814986,-2.093872858,-0.276184094
0.3,1.3,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.514571685,-1.078025784,-0.750884741,-0.032230169,-1.695173084,-0.026434486,-1.777455961,-0.05915725,-0.376570633,-2.109447656,-0.289294033
0.4,1.3,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.510802546,-1.136145761,-0.715796892,-0.033116213,-1.65269254,-0.025421685,-1.760407769,-0.05834839,-0.357076408,-2.133488192,-0.300099127
0.2,1.4,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.505998016,-1.09440254,-0.835976352,-0.030240962,-1.665687644,-0.026483432,-1.814977293,-0.058255518,-0.403910617,-2.043563499,-0.26638427
0.4,1.3,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.483221599,-1.17251373,-0.900196981,-0.031195405,-1.598615611,-0.023790159,-1.682481067,-0.055014429,-0.332931078,-2.110016808,-0.280862808
0.3,1.4,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.476823194,-1.18316634,-0.935463043,-0.029323542,-1.573418574,-0.023921936,-1.754305862,-0.054221884,-0.356106277,-2.057725144,-0.258970239
0.4,1.4,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.471014334,-1.211326479,-0.725633739,-0.031994225,-1.53676195,-0.024536896,-1.819727544,-0.056773967,-0.362855775,-2.090241458,-0.286152718
0.2,1.3,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.470963192,-1.018113012,-0.794074999,-0.031311494,-1.730589749,-0.027439757,-1.78618337,-0.05992344,-0.397120958,-2.04129505,-0.278767552
0.3,1.3,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.467042195,-1.13675319,-0.925678906,-0.030333833,-1.634848038,-0.024759035,-1.700193164,-0.055729791,-0.350433587,-2.063471253,-0.271124481
0.4,1.4,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.457010821,-1.216428135,-0.897385736,-0.030159386,-1.516502162,-0.022985691,-1.747809878,-0.053543546,-0.338177062,-2.081648336,-0.268006383
0.2,1.4,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.446680123,-1.146060419,-0.976607618,-0.028468874,-1.625395227,-0.024856926,-1.749804105,-0.054860062,-0.374994956,-1.991138803,-0.250089718
0.2,1.4,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.423973674,-0.944246928,-0.555883499,-0.032122237,-1.68519191,-0.028219125,-1.871389187,-0.061856798,-0.434977382,-2.085028105,-0.283584947
0.2,1.5,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.421756681,-1.144201734,-0.853034584,-0.029211845,-1.491131933,-0.025573542,-1.784844263,-0.056602657,-0.410440486,-2.036345251,-0.254369336
0.3,1.3,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.41617749,-0.923160081,-0.424190485,-0.034234435,-1.739000893,-0.02821536,-1.85022202,-0.062793043,-0.404500476,-2.140886535,-0.308485799
0.3,1.4,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.4132489,-1.040450486,-0.47191011,-0.033040912,-1.60925818,-0.027208833,-1.884901988,-0.061045428,-0.411384888,-2.113090352,-0.294342978
0.2,1.3,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.412469533,-1.099811677,-0.955545873,-0.029447789,-1.665250897,-0.02572038,-1.710075192,-0.056411894,-0.368864811,-1.982706324,-0.261560601
0.3,1.5,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.402166446,-1.206705495,-0.7806375,-0.030071534,-1.392755935,-0.024631022,-1.822680606,-0.055919926,-0.388788253,-2.065270325,-0.263446896
0.2,1.3,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.387982838,-0.828739907,-0.487345601,-0.033290661,-1.783151241,-0.029265811,-1.857034269,-0.063661517,-0.427397061,-2.090602903,-0.296907611
0.4,1.3,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.386570313,-1.015706511,-0.374041141,-0.035159385,-1.685554611,-0.027153613,-1.83450415,-0.061887546,-0.382866441,-2.135164271,-0.320592349
0.3,1.5,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.385046091,-1.209130194,-0.925756718,-0.028349647,-1.409871898,-0.023118723,-1.770234575,-0.052722763,-0.361509139,-2.040409006,-0.247174306
0.2,1.5,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.381150509,-1.171084262,-0.977220068,-0.027520079,-1.493101059,-0.024023593,-1.740580963,-0.0533258,-0.380867822,-1.991210339,-0.238981536
0.4,1.4,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.328142857,-1.130855851,-0.398325778,-0.033933231,-1.524525505,-0.026179717,-1.885480552,-0.060190759,-0.389201155,-2.073722884,-0.305377741
0.4,1.5,13.6,0,7.4,5.8,25.5,2.1,1.9,-5.326532666,-1.241039077,-0.876280064,-0.02916039,-1.323377174,-0.022207579,-1.784775237,-0.05209086,-0.343175806,-2.037300949,-0.25554529
0.2,1.5,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.31812466,-1.02721379,-0.59426201,-0.030997739,-1.457762206,-0.027216364,-1.815267203,-0.060080317,-0.442269048,-2.068785636,-0.270630003
0.4,1.5,13.5,0,7.4,5.8,25.5,2.1,1.9,-5.306634324,-1.261439427,-0.712674402,-0.030907378,-1.289649767,-0.023683482,-1.844102543,-0.055205192,-0.36835841,-2.029147712,-0.272694511
0.3,1.5,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.266314296,-1.125670109,-0.490760511,-0.031888803,-1.337189924,-0.026236193,-1.863557863,-0.059315383,-0.418003236,-2.070707071,-0.280636905
0.4,1.5,13.4,0,7.4,5.8,25.5,2.1,1.9,-5.122859235,-1.21485936,-0.395204543,-0.032756022,-1.209776529,-0.025243472,-1.893719758,-0.058511542,-0.395255999,-1.99251054,-0.290801312
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.5,-0.8,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.314794464,-1.183325727,-1.551846035,-0.090837093,-0.319641044,-0.040311242,-0.338124978,-0.076979162,-0.151389925,-1.996301328,-1.328080989
1.6,-0.9,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.313601568,-1.235011216,-1.601451956,-0.094216861,-0.281110675,-0.040397839,-0.31247739,-0.07559613,-0.141676698,-1.932406377,-1.381589394
1.5,-0.9,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.306036935,-1.122725832,-1.580460491,-0.093869221,-0.292148576,-0.04201807,-0.318664638,-0.077849518,-0.147569017,-1.996215359,-1.359459627
1.5,-0.9,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.302854831,-0.876838548,-1.617277758,-0.100628759,-0.311498474,-0.046369224,-0.331605149,-0.08218875,-0.154536888,-1.977424572,-1.446595665
1.6,-0.9,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.30159385,-1.061534194,-1.66979407,-0.100882273,-0.299831808,-0.04458333,-0.324969859,-0.079732048,-0.14824108,-1.868806356,-1.454016599
1.5,-0.8,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.28723297,-0.960885983,-1.564740111,-0.09726656,-0.341222368,-0.044418923,-0.351985419,-0.081259408,-0.158563619,-1.950368851,-1.41678141
