cx,cy,cz,A2,a,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.8,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.287232969945762,,,-0.960885982727632,-1.5647401107707992,-0.0972665599547326,-0.3412223677150905,-0.0444189228583127,-0.3519854192854836,-0.0812594075105153,-0.1585636194213293,-1.9503688510740176,-1.4167814102838747,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.1,-1.0,7.4,5.8,25.5,2.1,1.9,-5.192547358514275,,,-0.6916779174935073,-1.6160152078373358,-0.1024912083521485,-0.38534259586595,-0.0498268039664253,-0.3532793447375297,-0.0857417115475982,-0.1658276751404628,-1.8436432052985765,-1.4980182274011895,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.5_cy=-0.8_cz=13.1.log
1.5,-0.8,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.405560020590201,,,-1.0922075104899704,-1.67639171006158,-0.0943260481581091,-0.3814332085894421,-0.0457366937771439,-0.3278375794179737,-0.0812161092762835,-0.1582373142009601,-1.9355401622015047,-1.4216000596643426,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.2,-2.0,7.4,5.7,25.5,2.1,1.9,-5.457843526091892,,,-1.114597067120485,-1.7142544083762914,-0.0960253453813493,-0.4447916381759569,-0.0488428683020174,-0.3356601189589128,-0.0816164606949314,-0.1599692417657934,-1.901074175373651,-1.43809792510001,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.5_cy=-0.8_cz=13.2.log
1.5,-0.8,13.2,-2.5,7.5,5.7,25.5,2.1,1.9,-5.531933631980792,,,-1.1217381310416386,-1.7380470775533468,-0.0944628454744815,-0.4711244679056108,-0.0498180189169943,-0.3242469670949504,-0.0802886494784616,-0.1562945432960987,-1.9681185988592915,-1.4275130863534289,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.5_cy=-0.8_cz=13.2.log
0.3,1.4,13.5,0.0,7.4,5.8,25.5,2.1,1.9,-5.519119877833873,,,-1.1553814521757886,-0.7777007534168661,-0.0311320259934291,-1.6044250981649384,-0.0255158116342499,-1.823277995921672,-0.0575313718873076,-0.3828149855835363,-2.09387285792036,-0.2761840937891975,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.3_cy=1.4_cz=13.5.log
1.4,-0.9,13.1,-0.5,7.4,5.8,25.5,2.1,1.9,-5.007194709673058,,,-0.1291365380166098,-1.4684022654546425,-0.1075740393716842,-0.3440034920349717,-0.053418671246618,-0.351706804940477,-0.0894835533690638,-0.1687035535578616,-2.013423565949779,-1.508463131263852,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.0,-1.0,7.4,5.8,25.5,2.1,1.9,-4.781199493212625,,,0.4482190978014841,-1.4859386598691344,-0.1134851834503933,-0.3868762302445248,-0.0602924159029498,-0.3529781399993226,-0.0945099086966365,-0.176476519787684,-1.948310618288815,-1.5862266806070693,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.9_cz=13.0.log
1.4,-0.9,13.1,-1.5,7.4,5.8,25.5,2.1,1.9,-5.236511964176316,,,-0.3902083084685728,-1.6812636977992952,-0.1041089291684329,-0.3834977162769064,-0.0553237915737554,-0.3276116757187992,-0.0894076248514466,-0.1684111338690854,-1.9947124727186747,-1.512973673234228,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.1,-2.0,7.4,5.7,25.5,2.1,1.9,-5.349707865272649,,,-0.4525238163769245,-1.7586971767013893,-0.1060153043363243,-0.4471360155148431,-0.0591365423751995,-0.3357078096596524,-0.089812996215187,-0.1703940654406324,-1.9850117955938915,-1.5248806755407711,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.1,-2.5,7.5,5.7,25.5,2.1,1.9,-5.41531027079327,,,-0.4836897279601544,-1.8137574138818309,-0.104161639814265,-0.473387269070372,-0.0602886507986113,-0.3242846177890897,-0.0882969321100972,-0.1665166811435483,-2.0168748708674684,-1.5138371270149946,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.9_cz=13.1.log
0.2,1.3,13.4,0.0,7.4,5.8,25.5,2.1,1.9,-5.387982837855816,,,-0.8287399066612124,-0.4873456013156101,-0.0332906605908647,-1.7831512412521988,-0.0292658113176003,-1.857034268672578,-0.0636615170515142,-0.4273970610229298,-2.0906029033940285,-0.296907611482311,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.3_cz=13.4.log
1.4,-0.9,13.1,-1.0,7.4,5.8,25.5,2.1,1.9,-5.13905181735754,,,-0.2858483752934262,-1.5834010030375794,-0.1058571719331666,-0.3628218894591555,-0.0543473861180245,-0.3393436027690768,-0.0894565705675631,-0.1685880916775204,-2.0041859913035296,-1.5110114495037124,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.9_cz=13.1.log
1.4,-0.9,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.193890230089892,,,-0.6596196866594255,-1.5319552232977005,-0.1002409574575722,-0.3229831621283665,-0.0482705793110653,-0.3379153901478275,-0.0846824745531193,-0.1610592267243191,-2.0276925158686936,-1.4199635134427808,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.350392479100265,,,-0.8357429185416549,-1.6705671622185037,-0.0971987888915464,-0.3591980192577466,-0.0498155090026557,-0.3148292971309274,-0.0846479614265263,-0.1608088502543978,-2.016539780597668,-1.424720039300155,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-2.0,7.4,5.7,25.5,2.1,1.9,-5.449315665464383,,,-0.8699120929231867,-1.7162674604915082,-0.0989796625217422,-0.4186006259405985,-0.0531915125902742,-0.3225238247541711,-0.0850520779495127,-0.1627076953882351,-2.022448414703831,-1.439369887812063,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.2,-2.5,7.5,5.7,25.5,2.1,1.9,-5.467505297623575,,,-0.8807127950713038,-1.7445355309173465,-0.0973481363616883,-0.4433558952296152,-0.0542193740839138,-0.311562480055727,-0.0836759485537186,-0.1590775499935262,-2.035799945006147,-1.4230847482103854,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.9_cz=13.2.log
0.2,1.3,13.5,0.0,7.4,5.8,25.5,2.1,1.9,-5.470963191532064,,,-1.0181130121927708,-0.7940749994013458,-0.0313114939490333,-1.730589748825878,-0.0274397573666647,-1.7861833695787936,-0.0599234399269335,-0.3971209584851749,-2.0412950500031,-0.2787675524596125,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.3_cz=13.5.log
1.4,-0.9,13.2,-1.0,7.4,5.8,25.5,2.1,1.9,-5.285910806211177,,,-0.7682742981705815,-1.6083144049625844,-0.0987336784601211,-0.3402861227514222,-0.0490010009380057,-0.3260730213951319,-0.0846793370437808,-0.160960079927463,-2.022275221999734,-1.4226549039012752,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.9_cz=13.2.log
1.4,-0.9,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.212796478532255,,,-0.9835805093171076,-1.5341540183871984,-0.0933998434338718,-0.3030208139680326,-0.0437487420858815,-0.3245356219122186,-0.0801436945912428,-0.1536828465177677,-2.012439002748579,-1.32531116012251,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.314203977352008,,,-1.0961445082211867,-1.6172965832520276,-0.090766811510548,-0.3364645869005471,-0.0449121457058936,-0.3024221694795415,-0.0801405571401119,-0.1534688656684011,-2.00671422900632,-1.3298769230023026,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.3,-2.0,7.4,5.7,25.5,2.1,1.9,-5.401503168453928,,,-1.110732860630378,-1.6400337805971503,-0.0924272029660642,-0.3912537400610745,-0.0477949266787618,-0.3097464661113918,-0.0805352609604597,-0.1552861346281133,-2.024105668591801,-1.3455816157511435,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.9_cz=13.3.log
1.4,-0.9,13.3,-2.5,7.5,5.7,25.5,2.1,1.9,-5.387406783527695,,,-1.1089984229765832,-1.649912042892538,-0.0910203254316002,-0.4145356159424409,-0.048688500886783,-0.2992080631665885,-0.0792865161783993,-0.1518906779820099,-2.023205819306895,-1.3268422844121233,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.9_cz=13.3.log
0.2,1.3,13.6,0.0,7.4,5.8,25.5,2.1,1.9,-5.41246953321388,,,-1.099811676540412,-0.9555458725662902,-0.0294477893039584,-1.6652508974075315,-0.0257203798973932,-1.710075191804208,-0.0564118940383195,-0.3688648107927292,-1.982706323848106,-0.2615606007748283,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.3_cz=13.6.log
