cx,cy,cz,A2,a,b,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
0.2,1.2,13.4,-0.5,7.4,5.8,-5.21946691,-0.822248943,-0.271580053,-0.034151604,-1.764076192,-0.030596133,-1.750589747,-0.065767441,-0.417850751,-2.089093742,-0.31013364
0.3,1.1,13.4,-1,7.4,5.8,-5.049427388,-0.920769268,0.0599134,-0.035986444,-1.704730062,-0.030795681,-1.570916064,-0.066861818,-0.386762651,-2.156781363,-0.337379496
0.3,1,13.4,-1.5,7.4,5.8,-4.736388377,-0.920806919,0.49858556,-0.036857427,-1.682150997,-0.032114707,-1.404929629,-0.068868595,-0.377618575,-2.148202046,-0.352562101
0.2,1.2,13.5,-0.5,7.4,5.8,-5.325656662,-1.019525537,-0.641740672,-0.032128512,-1.70559477,-0.028640811,-1.67073659,-0.061895704,-0.388562977,-2.034996732,-0.291017803
0.3,1,13.5,-1.5,7.4,5.8,-4.947261857,-1.092791095,-0.100126751,-0.034705068,-1.619347286,-0.029922187,-1.330700216,-0.064839981,-0.352246463,-2.096809605,-0.329569507
0.3,1.1,13.5,-1,7.4,5.8,-5.198928508,-1.087675633,-0.407343097,-0.03387801,-1.646835989,-0.028755018,-1.49283374,-0.062967491,-0.360517673,-2.111067259,-0.315715341
0.2,1.2,13.6,-0.5,7.4,5.8,-5.284478829,-1.105801887,-0.850501954,-0.030217117,-1.637103309,-0.026794677,-1.588924346,-0.058249871,-0.361184716,-1.972483558,-0.272889039
0.3,1,13.6,-1.5,7.4,5.8,-4.980009721,-1.160298621,-0.468065984,-0.032674446,-1.549279519,-0.027877759,-1.257315431,-0.061054213,-0.328524703,-2.034649092,-0.308025834
0.3,1.1,13.6,-1,7.4,5.8,-5.188338649,-1.152626683,-0.683777567,-0.031891313,-1.579092519,-0.026836093,-1.414517982,-0.059294047,-0.335960069,-2.053315004,-0.29539845
0.2,1.3,13.4,-0.5,7.4,5.8,-5.33838633,-0.935136737,-0.412345606,-0.032954315,-1.679991107,-0.02950552,-1.829275736,-0.063947662,-0.425511393,-2.092907748,-0.296415016
0.3,1.1,13.4,-1.5,7.4,5.8,-4.914091679,-1.030377695,0.25698919,-0.035571032,-1.596513452,-0.030981424,-1.503894231,-0.067087722,-0.384930949,-2.155263416,-0.33663527
0.3,1.2,13.4,-1,7.4,5.8,-5.184748978,-1.033443709,-0.129665529,-0.034726403,-1.605913552,-0.029708833,-1.667536289,-0.06509224,-0.393941993,-2.153184476,-0.322033112
0.2,1.3,13.5,-0.5,7.4,5.8,-5.426942424,-1.093910573,-0.738800154,-0.031024094,-1.650594774,-0.027641816,-1.752541304,-0.060210839,-0.39548253,-2.045724643,-0.278268054
0.3,1.1,13.5,-1.5,7.4,5.8,-5.08928996,-1.164543098,-0.265266047,-0.033521584,-1.560008685,-0.028903111,-1.427081987,-0.063190885,-0.358900579,-2.112560733,-0.314975507
0.3,1.2,13.5,-1,7.4,5.8,-5.31113859,-1.161701733,-0.539064976,-0.032727156,-1.578074698,-0.027754767,-1.588180119,-0.061321532,-0.367061347,-2.117336712,-0.301667275
0.2,1.3,13.6,-0.5,7.4,5.8,-5.372985349,-1.150735368,-0.916288847,-0.0292131,-1.604317166,-0.025883533,-1.672179863,-0.056693019,-0.367448521,-1.988479416,-0.261055455
0.3,1.1,13.6,-1.5,7.4,5.8,-5.096976958,-1.203009461,-0.580485656,-0.031591363,-1.510304873,-0.026951554,-1.350479331,-0.059521834,-0.334537504,-2.056835963,-0.294670538
0.2,1.4,13.4,-0.5,7.4,5.8,-5.339884824,-1.01559858,-0.518428682,-0.031803462,-1.473478821,-0.028456323,-1.882580201,-0.062153611,-0.432932954,-2.086568014,-0.283057211
0.3,1.2,13.6,-1,7.4,5.8,-5.284485104,-1.196903789,-0.77562244,-0.030835842,-1.53329935,-0.025926203,-1.507814914,-0.057772963,-0.341905726,-2.067129637,-0.282475509
0.3,1.2,13.4,-1.5,7.4,5.8,-4.993380077,-1.108269256,0.036479666,-0.034338602,-1.390591025,-0.029899597,-1.602197438,-0.065320026,-0.391988554,-2.150400214,-0.321263157
0.2,1.4,13.5,-0.5,7.4,5.8,-5.431075205,-1.141804646,-0.809843071,-0.029969878,-1.491825959,-0.026679215,-1.813939392,-0.058541663,-0.402145431,-2.047508654,-0.265848377
0.3,1.3,13.4,-1,7.4,5.8,-5.209075972,-1.114224326,-0.286411879,-0.033520329,-1.379645996,-0.028650851,-1.759632166,-0.063332074,-0.400839583,-2.136574286,-0.307287254
0.2,1.4,13.6,-0.5,7.4,5.8,-5.380765218,-1.17436363,-0.961259979,-0.028241715,-1.483972043,-0.025003763,-1.739086234,-0.055144324,-0.373464459,-1.996635163,-0.249557589
0.3,1.2,13.5,-1.5,7.4,5.8,-5.150792216,-1.210293597,-0.417412122,-0.032390811,-1.398380935,-0.0279129,-1.52357169,-0.061551201,-0.365335694,-2.11801756,-0.300906733
0.3,1.3,13.5,-1,7.4,5.8,-5.332065422,-1.209642242,-0.647904075,-0.031612699,-1.401007691,-0.026792167,-1.68047178,-0.059691261,-0.37335339,-2.11221372,-0.288091723
