cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.5,0.9,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,-4.846424452,-1.291458251,-0.350983913,-0.036012799,-1.213651403,-0.027594125,-1.084200483,-0.061273214,-0.28583708,-2.149406238,-0.347957433,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.5_cy=0.9_cz=13.6.log
0.6,0.9,13.5,-2.5,7.5,5.7,25.5,2.1,1.9,-4.834232246,-1.353347052,-0.09504392,-0.039048692,-1.149643501,-0.028546685,-1.118915591,-0.063803962,-0.289901462,-2.198060226,-0.390193876,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.6_cy=0.9_cz=13.5.log
0.5,1,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,-4.790412595,-1.308835258,-0.428953286,-0.03482806,-0.936672882,-0.02665286,-1.170464283,-0.059859434,-0.290641924,-2.154337839,-0.332370084,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.5_cy=1.0_cz=13.6.log
0.5,0.9,13.5,-2.5,7.5,5.7,25.5,2.1,1.9,-4.768071984,-1.302384455,0.071364202,-0.038186494,-1.225267241,-0.02982806,-1.148859113,-0.06494603,-0.30479353,-2.18783746,-0.373914384,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.5_cy=0.9_cz=13.5.log
0.4,0.9,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,-4.751914856,-1.256266235,-0.250641299,-0.035139305,-1.284642237,-0.028812749,-1.109521766,-0.062271582,-0.300011276,-2.073256644,-0.333863558,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=0.9_cz=13.6.log
0.4,1,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,-4.733986896,-1.275189426,-0.337782358,-0.033979667,-1.037857614,-0.027832579,-1.197694452,-0.060815759,-0.305158113,-2.093515805,-0.319329171,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=1.0_cz=13.6.log
0.5,1,13.5,-2.5,7.5,5.7,25.5,2.1,1.9,-4.702790236,-1.341862364,-0.048534133,-0.036903863,-0.891211037,-0.028781374,-1.238739881,-0.063433103,-0.30999998,-2.179458947,-0.35688188,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.5_cy=1.0_cz=13.5.log
0.4,0.9,13.5,-2.5,7.5,5.7,25.5,2.1,1.9,-4.6576867,-1.241018997,0.221369213,-0.037291664,-1.303705991,-0.031116966,-1.176203489,-0.066061115,-0.320412881,-2.129079934,-0.358148822,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=0.9_cz=13.5.log
0.4,1,13.5,-2.5,7.5,5.7,25.5,2.1,1.9,-4.640480375,-1.28229535,0.086880015,-0.036029114,-1.00402604,-0.030023843,-1.267911565,-0.064496733,-0.326036626,-2.140990074,-0.342253994,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=1.0_cz=13.5.log
0.5,1.1,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,-4.63037872,-1.31022582,-0.515440479,-0.033680972,-0.483536616,-0.0257505,-1.259642239,-0.058451301,-0.295252868,-2.145313618,-0.31722262,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.5_cy=1.1_cz=13.6.log
0.4,1.1,13.6,-2.5,7.5,5.7,25.5,2.1,1.9,-4.622314275,-1.276818442,-0.434686217,-0.032863954,-0.627585929,-0.026897589,-1.28860308,-0.059362446,-0.310132385,-2.10386972,-0.305222119,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.4_cy=1.1_cz=13.6.log
0.6,0.9,13.4,-2.5,7.5,5.7,25.5,2.1,1.9,-4.580554426,-1.326927626,0.499364928,-0.04138052,-1.130278542,-0.030860942,-1.182627936,-0.067569649,-0.308544157,-2.178368962,-0.419716339,2,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=0.6_cy=0.9_cz=13.4.log
