cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.2,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.219466909999028,-0.8222489433828741,-0.2715800529113039,-0.0341516041662544,-1.764076192281209,-0.0305961326230317,-1.7505897473311052,-0.0657674406538717,-0.4178507512551732,-2.089093741902616,-0.3101336398394778,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.2_cz=13.4.log
0.3,1.1,13.4,-1.0,7.4,5.8,25.5,2.1,1.9,-5.049427387828473,-0.9207692684140056,0.0599133997457101,-0.0359864435158669,-1.7047300615813583,-0.0307956808246672,-1.5709160640835762,-0.0668618180206976,-0.3867626510327682,-2.1567813630681485,-0.3373794963699765,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.1_cz=13.4.log
0.3,1.0,13.4,-1.5,7.4,5.8,25.5,2.1,1.9,-4.736388376681134,-0.9208069189917296,0.4985855603590607,-0.0368574273306876,-1.6821509967558086,-0.0321147069334983,-1.4049296288285404,-0.0688685950008221,-0.3776185752358287,-2.1482020462863147,-0.3525621009175665,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.0_cz=13.4.log
0.2,1.2,13.5,-0.5,7.4,5.8,25.5,2.1,1.9,-5.325656662229449,-1.0195255372673273,-0.6417406718246639,-0.0321285119280219,-1.7055947703775018,-0.0286408113315701,-1.6707365898182616,-0.0618957037804648,-0.38856297719758,-2.0349967322545126,-0.2910178027232177,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.2_cz=13.5.log
0.3,1.0,13.5,-1.5,7.4,5.8,25.5,2.1,1.9,-4.947261857101694,-1.0927910946775228,-0.1001267505344003,-0.0347050682175904,-1.6193472858285531,-0.0299221868626773,-1.3307002161163837,-0.0648399807396344,-0.3522464634734206,-2.0968096046708524,-0.3295695070992224,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.0_cz=13.5.log
0.3,1.1,13.5,-1.0,7.4,5.8,25.5,2.1,1.9,-5.198928507626988,-1.0876756332581865,-0.4073430965654552,-0.0338780098827555,-1.646835988969542,-0.0287550181383267,-1.4928337397286668,-0.0629674909869209,-0.3605176728451624,-2.111067259334959,-0.3157153411884792,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.1_cz=13.5.log
0.2,1.2,13.6,-0.5,7.4,5.8,25.5,2.1,1.9,-5.284478828543797,-1.1058018871117383,-0.8505019535077736,-0.0302171165822073,-1.6371033088071272,-0.0267946770181879,-1.5889243460260332,-0.0582498708972707,-0.3611847159336321,-1.972483558463864,-0.2728890387224965,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.2_cz=13.6.log
0.3,1.0,13.6,-1.5,7.4,5.8,25.5,2.1,1.9,-4.980009721417446,-1.1602986205834895,-0.4680659841978922,-0.0326744456542655,-1.5492795193567872,-0.0278777591884136,-1.257315431488678,-0.0610542129143141,-0.3285247028106823,-2.0346490917145275,-0.3080258337431587,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.0_cz=13.6.log
0.3,1.1,13.6,-1.0,7.4,5.8,25.5,2.1,1.9,-5.188338648877107,-1.1526266833534464,-0.6837775667663664,-0.0318913132650777,-1.5790925193578005,-0.0268360927002504,-1.4145179816987363,-0.0592940474161878,-0.3359600689145736,-2.0533150040428154,-0.2953984499326907,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.1_cz=13.6.log
0.2,1.3,13.4,-0.5,7.4,5.8,25.5,2.1,1.9,-5.338386329938658,-0.9351367373019456,-0.4123456061352044,-0.0329543150728568,-1.679991107317619,-0.029505520244129,-1.8292757363524288,-0.0639476617216132,-0.4255113933468237,-2.0929077476030216,-0.2964150160551071,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.3_cz=13.4.log
0.3,1.1,13.4,-1.5,7.4,5.8,25.5,2.1,1.9,-4.914091678510886,-1.0303776951041073,0.2569891903549433,-0.0355710319709032,-1.5965134520083666,-0.0309814236825332,-1.5038942311657593,-0.0670877216616645,-0.3849309491924941,-2.155263416294474,-0.3366352695738897,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.1_cz=13.4.log
0.3,1.2,13.4,-1.0,7.4,5.8,25.5,2.1,1.9,-5.184748977946583,-1.0334437090205029,-0.1296655288897454,-0.034726403420791,-1.6059135519899428,-0.0297088334336876,-1.667536288849078,-0.0650922397035174,-0.393941992893815,-2.1531844756682403,-0.3220331118791364,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.2_cz=13.4.log
0.2,1.3,13.5,-0.5,7.4,5.8,25.5,2.1,1.9,-5.4269424238591455,-1.0939105725847185,-0.7388001536019146,-0.031024094321765,-1.6505947738187388,-0.027641815599054,-1.7525413036346436,-0.0602108394959941,-0.3954825298860669,-2.045724643219728,-0.2782680544769391,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.3_cz=13.5.log
0.3,1.1,13.5,-1.5,7.4,5.8,25.5,2.1,1.9,-5.089289960451424,-1.1645430981880054,-0.2652660473249852,-0.0335215841187164,-1.5600086853373796,-0.028903110534884,-1.4270819870289415,-0.0631908845389261,-0.3589005793910473,-2.112560733337886,-0.3149755069171078,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.1_cz=13.5.log
0.3,1.2,13.5,-1.0,7.4,5.8,25.5,2.1,1.9,-5.311138590448536,-1.1617017327807844,-0.5390649755718186,-0.032727156416513,-1.5780746981035918,-0.027754767332226,-1.5881801191717386,-0.0613215321791358,-0.3670613470021635,-2.1173367117298767,-0.3016672748490236,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=0.3_cy=1.2_cz=13.5.log
0.2,1.3,13.6,-0.5,7.4,5.8,25.5,2.1,1.9,-5.37298534886213,-1.150735368137248,-0.9162888469872996,-0.0292131004389375,-1.604317166376859,-0.0258835325948894,-1.6721798627404496,-0.0566930185304954,-0.3674485206720419,-1.9884794158278964,-0.2610554551938548,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=0.2_cy=1.3_cz=13.6.log
0.3,1.1,13.6,-1.5,7.4,5.8,25.5,2.1,1.9,-5.096976957924198,-1.203009461169131,-0.580485655576922,-0.0315913633676245,-1.5103048732271418,-0.0269515543477609,-1.3504793313331902,-0.0595218336675316,-0.3345375036587938,-2.056835962692276,-0.2946705383947119,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=0.3_cy=1.1_cz=13.6.log
