cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.9,13.2,0,-2,7.4,5.8,25.5,2.1,1.9,-5.465231829031836,-1.111160822561942,-1.7302571684122086,-0.0960253453813493,-0.3663415929768234,-0.0488428683020174,-0.2988604228012264,-0.0820663853082805,-0.1540668826783076,-1.951945156091824,-1.4514092947356405,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.5_cy=-0.9_cz=13.2.log
0.6,0.9,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.056974450591952,-1.2796121168648824,-0.523379735648632,-0.0360466844867914,-1.4114607529481873,-0.0254380004480481,-1.0327785484259948,-0.059917164791841,-0.2778112272499129,-2.2023103510728106,-0.3625777880661189,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.6_cy=0.9_cz=13.6.log
1.4,-1.0,13.1,0,-2,7.4,5.8,25.5,2.1,1.9,-5.290871900157072,-0.4395594599191099,-1.8044677559519189,-0.1060153043363243,-0.3682881291024387,-0.0591365423751995,-0.2983797499909997,-0.0902999439858831,-0.1637819925672374,-1.966246736468748,-1.5326197562972084,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-1.0_cz=13.1.log
0.5,0.8,13.5,0,-2,7.4,5.8,25.5,2.1,1.9,-4.8110068459645845,-1.14071528846398,0.0911495925392955,-0.0386546159861609,-1.5266527637140823,-0.0297226386610418,-1.0374635379994288,-0.066130768856965,-0.3054078621207736,-2.2063421028433368,-0.3920964860008098,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=0.8_cz=13.5.log
1.4,-1.0,13.2,0,-2,7.4,5.8,25.5,2.1,1.9,-5.356529526703525,-0.8659587799338624,-1.735870872857049,-0.0989796625217422,-0.3452509819762781,-0.0531915125902742,-0.2868210157612338,-0.0854994925903156,-0.1564225552137941,-1.970919803483412,-1.450651262595784,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-1.0_cz=13.2.log
0.5,0.8,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-4.882402423594613,-1.1917218113085255,-0.3401079099858179,-0.0364131502574309,-1.449218029738404,-0.0275288636330515,-0.9786269454052672,-0.0623374709975905,-0.2862449616659432,-2.157460328831803,-0.3645513069350272,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=0.8_cz=13.6.log
1.4,-1.0,13.3,0,-2,7.4,5.8,25.5,2.1,1.9,-5.28436148428591,-1.1123016356723383,-1.6419727865140883,-0.0924272029660642,-0.3236897382885217,-0.0477949266787618,-0.2755747814662754,-0.0809588301344774,-0.1493222795543261,-1.948496361321304,-1.358703477482777,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-1.0_cz=13.3.log
1.4,-0.9,13.1,0,-2,7.4,5.8,25.5,2.1,1.9,-5.303033358155517,-0.4525238163769245,-1.758696549164597,-0.1023330758325755,-0.4058195020770654,-0.0563428679015487,-0.3164558029966429,-0.0893160083214752,-0.1681902504060417,-1.9850902344915085,-1.5143510577618144,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-0.9_cz=13.1.log
0.5,0.8,13.7,0,-2,7.4,5.8,25.5,2.1,1.9,-4.828233877429739,-1.1815034383907914,-0.6011081442702562,-0.034300951519981,-1.3709750628331676,-0.0255007513333112,-0.92192639678251,-0.0587656839634291,-0.2681858512805775,-2.094873108784668,-0.3387518608360551,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=0.8_cz=13.7.log
1.4,-0.9,13.2,0,-2,7.4,5.8,25.5,2.1,1.9,-5.390111979388166,-0.8699120929231867,-1.7162674604915082,-0.095645074150525,-0.3798418432706967,-0.0506915128789842,-0.3041264865314588,-0.0845883480506017,-0.1606130670406855,-2.010526352270972,-1.426141976902727,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-0.9_cz=13.2.log
0.5,0.9,13.5,0,-2,7.4,5.8,25.5,2.1,1.9,-4.943032439739909,-1.2293673910899088,-0.0308985924348235,-0.0373481401475146,-1.5163113989401609,-0.0286797169828787,-1.1225476190447807,-0.0645839567296207,-0.3111740514286794,-2.210401465010364,-0.3742965372512117,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=0.9_cz=13.5.log
0.5,0.9,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-4.993114012759179,-1.2467092574806884,-0.4201192001346499,-0.0352171161212027,-1.4499396663159132,-0.0265976388473063,-1.059258215362206,-0.0609017279348336,-0.2915787966339849,-2.173476266558282,-0.3482366745010949,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=0.9_cz=13.6.log
1.4,-0.9,13.3,0,-2,7.4,5.8,25.5,2.1,1.9,-5.334499532997143,-1.110732860630378,-1.6400337805971503,-0.089431470260024,-0.3553313026204705,-0.0456162118352949,-0.2921410456765443,-0.0801016514305956,-0.153293790470343,-2.003267316438724,-1.3311934388475493,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-0.9_cz=13.3.log
0.5,0.9,13.7,0,-2,7.4,5.8,25.5,2.1,1.9,-4.923615711508319,-1.2107190490933135,-0.6526963688666001,-0.0331990440608933,-1.3800450924318284,-0.0246661631390452,-0.9978362815454602,-0.057427832565736,-0.2731143148848787,-2.11965975392377,-0.3238328105653636,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=0.9_cz=13.7.log
1.4,-0.8,13.1,0,-2,7.4,5.8,25.5,2.1,1.9,-5.262372278550174,-0.4478714573197067,-1.6912649520672858,-0.098765054019168,-0.4471360155148431,-0.0536734402412548,-0.3357078096596524,-0.0882969319936819,-0.1726003905641846,-1.9774063745280728,-1.4868592170532793,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-0.8_cz=13.1.log
0.5,1.0,13.5,0,-2,7.4,5.8,25.5,2.1,1.9,-5.016367650940083,-1.294703732477501,-0.1632831220049411,-0.0360906101996079,-1.4284072881564498,-0.0276794660603627,-1.211576227797195,-0.0630383995594456,-0.3167595178238116,-2.1987329165567644,-0.3569665936520323,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=1.0_cz=13.5.log
1.4,-0.8,13.2,0,-2,7.4,5.8,25.5,2.1,1.9,-5.382860473589972,-0.8602170634549111,-1.6799496916355563,-0.0924322229111567,-0.4186006259405985,-0.0483295652084052,-0.3225238247541711,-0.0836320226662792,-0.1648060887819156,-2.028029488574248,-1.3953663766151294,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=1.4_cy=-0.8_cz=13.2.log
0.5,1.0,13.6,0,-2,7.4,5.8,25.5,2.1,1.9,-5.055318765487755,-1.2833175635314549,-0.5083759715780616,-0.0340587326791137,-1.3850526221795008,-0.0257015546085312,-1.1444778383010998,-0.0594609651598148,-0.2967130835168063,-2.1763000614591874,-0.3323525139130652,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2_cx=0.5_cy=1.0_cz=13.6.log
