cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1.5,-0.8,13.3,7.3,5.9,25.5,-0.2,1.9,-5.192426249,-1.508827715,-1.097403293,-0.038187749,-0.330233413,-0.08910391,-0.277540143,-1.321679132,-1.96988504,-0.152621727,-0.077592239,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.8_cz=13.3.log
-1.6,-0.9,13.3,7.3,5.9,25.5,-0.2,1.9,-5.186393682,-1.582357454,-1.118531555,-0.038192769,-0.305228394,-0.092463598,-0.244382515,-1.369399385,-1.907359316,-0.142793038,-0.0762638,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.9_cz=13.3.log
-1.5,-0.9,13.3,7.3,5.9,25.5,-0.2,1.9,-5.179593042,-1.544092522,-1.00684607,-0.039814255,-0.311150833,-0.092080817,-0.254070014,-1.354447077,-1.973946912,-0.148660884,-0.078510914,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.9_cz=13.3.log
-1.6,-0.8,13.3,7.3,5.9,25.5,-0.2,1.9,-5.159606848,-1.56468238,-1.213403537,-0.036597638,-0.323702289,-0.089515556,-0.267033115,-1.337092033,-1.853156884,-0.146506015,-0.075384659,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.8_cz=13.3.log
-1.6,-1,13.3,7.3,5.9,25.5,-0.2,1.9,-5.151607978,-1.593449948,-1.001529805,-0.03983308,-0.288054701,-0.095503257,-0.224489192,-1.397751542,-1.916213482,-0.139102652,-0.077110311,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-1.0_cz=13.3.log
-1.5,-0.7,13.3,7.3,5.9,25.5,-0.2,1.9,-5.150590785,-1.468441171,-1.164494153,-0.036627759,-0.3507555,-0.086223639,-0.303476386,-1.287145374,-1.92521323,-0.156591983,-0.076630894,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.7_cz=13.3.log
-1.5,-0.9,13.2,7.3,5.9,25.5,-0.2,1.9,-5.131913578,-1.556975302,-0.714627213,-0.043852909,-0.323726134,-0.098707323,-0.270578547,-1.436820315,-1.952189885,-0.155736687,-0.082932977,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=1.9_R4=-0.2_cx=-1.5_cy=-0.9_cz=13.2.log
-1.6,-0.9,13.2,7.3,5.9,25.5,-0.2,1.9,-5.13131556,-1.632635438,-0.899894521,-0.042095881,-0.317350633,-0.098990957,-0.260361429,-1.434307765,-1.841379149,-0.149474137,-0.08049008,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.9_cz=13.2.log
-1.5,-0.8,13.4,7.3,5.9,25.5,-0.2,1.9,-5.128017995,-1.474839263,-1.221649018,-0.034664907,-0.317168654,-0.083245476,-0.260127995,-1.231957752,-1.981175827,-0.145589223,-0.073447536,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.8_cz=13.4.log
-1.5,-0.8,13.2,7.3,5.9,25.5,-0.2,1.9,-5.121458633,-1.496736852,-0.836355368,-0.042059485,-0.343673422,-0.09540411,-0.295918656,-1.405295467,-1.919216745,-0.159918413,-0.081954061,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.8_cz=13.2.log
-1.4,-0.8,13.3,7.3,5.9,25.5,-0.2,1.9,-5.120730722,-1.421884949,-0.95476274,-0.039877005,-0.336518553,-0.088581822,-0.287882763,-1.292120274,-2.025080192,-0.158952048,-0.079824292,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.8_cz=13.3.log
-1.5,-1,13.3,7.3,5.9,25.5,-0.2,1.9,-5.118383834,-1.572039307,-0.892161087,-0.041483431,-0.293313234,-0.095150596,-0.233429955,-1.383940674,-1.946547315,-0.144712591,-0.079394448,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-1.0_cz=13.3.log
-1.5,-0.7,13.4,7.3,5.9,25.5,-0.2,1.9,-5.114164457,-1.453162558,-1.270889728,-0.033293171,-0.33665535,-0.08062625,-0.284268305,-1.198519,-1.964295808,-0.14934738,-0.072554589,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.5_cy=-0.7_cz=13.4.log
-1.4,-0.7,13.3,7.3,5.9,25.5,-0.2,1.9,-5.112788327,-1.361267483,-1.012533821,-0.038279365,-0.357948019,-0.085685235,-0.314711325,-1.257655542,-2.027922184,-0.163173935,-0.078824041,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.4_cy=-0.7_cz=13.3.log
-1.6,-1,13.2,7.3,5.9,25.5,-0.2,1.9,-5.112399899,-1.66163393,-0.745210796,-0.04391566,-0.29935239,-0.102374491,-0.238511531,-1.457212507,-1.882720763,-0.14557479,-0.08139244,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-1.0_cz=13.2.log
-1.6,-0.9,13.4,7.3,5.9,25.5,-0.2,1.9,-5.108787951,-1.503375908,-1.214126428,-0.034619727,-0.293473877,-0.086386792,-0.229464092,-1.289038572,-1.930412778,-0.136357923,-0.072255266,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.9_cz=13.4.log
-1.6,-0.8,13.4,7.3,5.9,25.5,-0.2,1.9,-5.106602961,-1.499170336,-1.285578482,-0.033202809,-0.311078042,-0.083708579,-0.250195767,-1.256401777,-1.907432734,-0.139867586,-0.071433856,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-1.6_cy=-0.8_cz=13.4.log
