cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,18.4,-0.1,0,7.3,5.9,25.5,2.2,2.1,-5.740549331647344,-1.0976467672735453,-0.8298192238435149,-0.0251757011283189,-1.7981675555929542,-0.0216616452671587,-1.922885168110952,-0.0541729384567588,-0.447370704379864,-2.1410954954335466,-0.2502321627689525,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.1_A2=0_cx=0.2_cy=1.4_cz=18.4.log
0.2,1.4,18.4,-0.2,0,7.3,5.9,25.5,2.2,2.1,-5.750762056442909,-1.1178337638266385,-0.851167114218697,-0.0254831812344491,-1.7810930085834116,-0.0219691249076277,-1.9206324070692065,-0.0541603880701586,-0.4473205035319552,-2.140035003540106,-0.2501568613806739,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.2_A2=0_cx=0.2_cy=1.4_cz=18.4.log
0.2,1.4,18.4,-0.3,0,7.3,5.9,25.5,2.2,2.1,-5.759817025973462,-1.137612879043445,-0.8727346328087151,-0.0257969361264258,-1.762895218329504,-0.022282880032435,-1.917450931621716,-0.0541541130514815,-0.4472514773951843,-2.1389494113391265,-0.2500752852065488,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.3_A2=0_cx=0.2_cy=1.4_cz=18.4.log
0.2,1.4,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.7676263875328,-1.1568962610326707,-0.8944590289611369,-0.0261044159997254,-1.7435930110514164,-0.0226029099430888,-1.91330936527811,-0.0541415627812966,-0.4471699012210592,-2.137851268867962,-0.2499811585294082,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.2_cy=1.4_cz=18.4.log
0.1,1.3,18.3,-0.1,0,7.3,5.9,25.5,2.2,2.1,-5.545233705895953,-0.7309926738962531,-0.5481927359942347,-0.0268009521532803,-1.9124998776242137,-0.0249058718327432,-1.946586220758036,-0.059908379567787,-0.5009977088775486,-2.120092735742219,-0.269245715579018,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.1_A2=0_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.3,-0.2,0,7.3,5.9,25.5,2.2,2.1,-5.567726802546531,-0.7613829832989722,-0.5760981056373566,-0.0271398075856268,-1.903250380186364,-0.0252447272650897,-1.9447852671146395,-0.0599021046655252,-0.500947508146055,-2.118756139650941,-0.2691704145399853,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.2_A2=0_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.3,-0.3,0,7.3,5.9,25.5,2.2,2.1,-5.589491986786015,-0.7918987947050482,-0.6046121602412313,-0.0274661127477884,-1.8928023388143629,-0.0255898577161133,-1.9420744238886984,-0.0598895545117557,-0.5008722068741918,-2.11740071780514,-0.2691076635383069,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.3_A2=0_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.610375519609079,-0.8224648067262024,-0.6336344976443797,-0.0277986929286271,-1.881118102464825,-0.0259161631111055,-1.93839094042778,-0.0598770042415708,-0.5007969056023285,-2.1160139209823683,-0.2690260871313512,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.4,-0.1,0,7.3,5.9,25.5,2.2,2.1,-5.6423408791888505,-0.9548631417565048,-0.8348832298070192,-0.0251443258021026,-1.8701366775203496,-0.0233308218885213,-1.887543804710731,-0.0562876471085473,-0.4640436450717971,-2.07125363254454,-0.2528049537213519,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.1_A2=0_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.4,-0.2,0,7.3,5.9,25.5,2.2,2.1,-5.657796450075693,-0.9746861825697124,-0.8534700761083513,-0.0254643557127565,-1.864294559461996,-0.0236571270506829,-1.8874245781917125,-0.056287646992132,-0.4639997192425653,-2.070268441806548,-0.2527422024868428,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.2_A2=0_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.4,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.686533270287328,-1.0143573647364974,-0.8915850331541151,-0.0261169662699103,-1.849861829308793,-0.0243034623563289,-1.8849270881619304,-0.0562625465681776,-0.4638679421041161,-2.068235309328884,-0.2525916002923623,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.4,-0.3,0,7.3,5.9,25.5,2.2,2.1,-5.672546072630212,-0.9945405989419668,-0.8723895023576915,-0.0257906611077487,-1.8575362768024208,-0.0239771569613367,-1.886558614205569,-0.0562750967219471,-0.4639432434923947,-2.069264425779693,-0.2526669014478102,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.3_A2=0_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.5,-0.2,0,7.3,5.9,25.5,2.2,2.1,-5.601574691128917,-1.0728601219598204,-0.9953375365585088,-0.0239018558058887,-1.8057353261392564,-0.0221448277588933,-1.8189757871441543,-0.0528865428641438,-0.429605896002613,-2.012393194483593,-0.237211330095306,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.2_A2=0_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.3,18.5,-0.1,0,7.3,5.9,25.5,2.2,2.1,-5.591327453381382,-1.0602534462232145,-0.9831763927359134,-0.0235818256624043,-1.8096635388210416,-0.0218310728669166,-1.8182729759719225,-0.0528928179992362,-0.4296372716780752,-2.0131399313686416,-0.2372678061947226,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.1_A2=0_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.3,18.5,-0.3,0,7.3,5.9,25.5,2.2,2.1,-5.611156769329682,-1.0854354223702103,-1.0076618331950158,-0.024209335912019,-1.8010854772292078,-0.0224648579023778,-1.8190699135884645,-0.0528739925939589,-0.4295619704062119,-2.0116088069044054,-0.2371485793264582,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.3_A2=0_cx=0.1_cy=1.3_cz=18.5.log
