cx,cy,cz,A1,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.5,-0.9,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.076621789,-1.10940003,-1.452647999,-0.080754262,-0.277453546,-0.032046936,-0.345507006,-0.075037646,-0.157630512,-1.928294304,-1.266754437,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-0.9_cz=18.2.log
1.4,-1,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.887000817,-0.528413621,-1.367394491,-0.088717364,-0.280308717,-0.038842869,-0.344044908,-0.082467364,-0.16723769,-1.954674825,-1.358759953,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-1.0_cz=18.1.log
1.4,-1,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.966625561,-0.871297635,-1.426280029,-0.082674443,-0.263434973,-0.035027608,-0.330616194,-0.077936742,-0.159607169,-1.961138178,-1.263278032,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-1.0_cz=18.2.log
1.4,-1,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.911916102,-1.054455254,-1.426631435,-0.077051953,-0.247590346,-0.031563753,-0.317576536,-0.073657124,-0.152246476,-1.941057858,-1.167520005,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-1.0_cz=18.3.log
1.4,-0.9,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.913221322,-0.690261,-1.250702731,-0.085962595,-0.307065743,-0.037311745,-0.366196011,-0.081532374,-0.171969116,-1.962524975,-1.328444945,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-0.9_cz=18.1.log
1.4,-0.9,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.015119534,-0.99336088,-1.34977401,-0.080195778,-0.28835967,-0.033665912,-0.351750731,-0.077077053,-0.164081315,-1.992181098,-1.233226578,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-0.9_cz=18.2.log
1.4,-0.9,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.977616398,-1.14743341,-1.379637211,-0.074780367,-0.270569762,-0.030402859,-0.337688231,-0.072841361,-0.156482169,-1.989382403,-1.138654546,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-0.9_cz=18.3.log
1.4,-0.8,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.886991404,-0.821084285,-1.12358803,-0.083283127,-0.336420661,-0.035818271,-0.39002884,-0.080559734,-0.176738191,-1.939194153,-1.295387718,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-0.8_cz=18.1.log
1.4,-0.8,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.021388358,-1.090813183,-1.264871907,-0.077748489,-0.315769307,-0.032385791,-0.374529343,-0.076160889,-0.168574286,-1.997307854,-1.201286319,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-0.8_cz=18.2.log
1.4,-0.8,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.009315066,-1.220933657,-1.32530112,-0.072565256,-0.29618472,-0.029323542,-0.359462828,-0.071994222,-0.160742962,-2.016158255,-1.108534066,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.4_cy=-0.8_cz=18.3.log
1.5,-1,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.988105228,-0.718574251,-1.495011199,-0.089225647,-0.269722623,-0.037060741,-0.338140039,-0.080208328,-0.16064256,-1.886533514,-1.386853576,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-1.0_cz=18.1.log
1.5,-1,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.050407559,-0.985975087,-1.505829472,-0.083251752,-0.253388538,-0.033377257,-0.325175682,-0.075878509,-0.15343247,-1.930716493,-1.296881192,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-1.0_cz=18.2.log
1.5,-1,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.984017,-1.117538834,-1.470996392,-0.077654362,-0.238058469,-0.030038904,-0.312575281,-0.071774594,-0.146473384,-1.939495358,-1.202842543,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-1.0_cz=18.3.log
1.5,-0.9,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.987211026,-0.881846078,-1.409763966,-0.086483428,-0.29556976,-0.035560992,-0.359425178,-0.079317264,-0.16506023,-1.851085474,-1.357423357,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-0.9_cz=18.1.log
1.5,-0.9,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.031532057,-1.211163326,-1.441534797,-0.075382776,-0.260228397,-0.028903111,-0.331971615,-0.070996481,-0.150451798,-1.962035517,-1.17345625,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-0.9_cz=18.3.log
1.5,-0.8,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.920635353,-1.016453248,-1.315223309,-0.083797686,-0.323914387,-0.034098894,-0.382341843,-0.078382274,-0.169515551,-1.770255911,-1.324566933,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-0.8_cz=18.1.log
1.5,-0.8,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.049199601,-1.210303637,-1.391547351,-0.078306973,-0.303909368,-0.030804466,-0.367451031,-0.074171682,-0.161841104,-1.887644207,-1.234381196,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-0.8_cz=18.2.log
1.5,-0.8,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.035105727,-1.287060661,-1.405063916,-0.073155116,-0.284958566,-0.027867719,-0.352924174,-0.070180719,-0.154449036,-1.952415789,-1.142545108,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.5_cy=-0.8_cz=18.3.log
1.6,-1,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.988792351,-0.883182674,-1.588729818,-0.089614703,-0.259029853,-0.035372739,-0.331959065,-0.077968117,-0.154279609,-1.762876393,-1.399723806,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.6_cy=-1.0_cz=18.1.log
1.6,-1,18.2,-0.4,0,7.3,5.9,25.5,2.2,2.1,-5.057940816,-1.08183979,-1.558967019,-0.083697284,-0.243260527,-0.031808482,-0.319459066,-0.073839102,-0.14746485,-1.85587965,-1.32124113,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.6_cy=-1.0_cz=18.2.log
1.6,-1,18.3,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.997916347,-1.167978088,-1.494584493,-0.078150095,-0.228470116,-0.028614456,-0.307297922,-0.069910889,-0.14089482,-1.902039286,-1.232523766,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.6_cy=-1.0_cz=18.3.log
1.6,-0.9,18.1,-0.4,0,7.3,5.9,25.5,2.2,2.1,-4.939306913,-1.042369411,-1.531030274,-0.086885035,-0.283935725,-0.03389809,-0.352440992,-0.077127254,-0.158421175,-1.666848538,-1.371630183,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A1=-0.4_A2=0_cx=1.6_cy=-0.9_cz=18.1.log
