cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.6,-1,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.12866433,-1.136370409,-1.610592266,-0.080835838,-0.27169928,-0.030936243,-0.299736426,-0.073826552,-0.14774723,-1.866377892,-1.325627425,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.6_cy=-1_cz=18.2.log
1.5,-1.1,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.041161198,-0.59455945,-1.693749892,-0.088836591,-0.274466599,-0.037518823,-0.299090091,-0.081030366,-0.156551195,-1.895199427,-1.414269488,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1.1_cz=18.1.log
1.5,-1.1,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.059801383,-0.915135484,-1.613886694,-0.082749743,-0.258101138,-0.033741213,-0.287951789,-0.076669172,-0.149560733,-1.909958462,-1.327829985,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1.1_cz=18.2.log
1.5,-1.1,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-4.958483618,-1.08212217,-1.514846791,-0.077095879,-0.242783619,-0.030271082,-0.277089591,-0.072527606,-0.142815001,-1.896542298,-1.234494148,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1.1_cz=18.3.log
1.5,-1,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.102020256,-0.736633989,-1.665204462,-0.086069272,-0.300690242,-0.035962598,-0.317131004,-0.080183228,-0.160924939,-1.898462479,-1.391603827,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1_cz=18.1.log
1.5,-1,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.134302508,-1.022345567,-1.604756424,-0.080264804,-0.282492452,-0.03232304,-0.305233414,-0.075872234,-0.15371485,-1.939112577,-1.301894997,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1_cz=18.2.log
1.5,-1,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.043806153,-1.164219303,-1.518379672,-0.074836842,-0.265192001,-0.029003512,-0.29363703,-0.071780869,-0.146755764,-1.944835468,-1.207799872,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-1_cz=18.3.log
1.5,-0.9,18.1,-0.4,7.3,5.9,25.5,2.2,2.1,-5.10241245,-0.849159082,-1.623431121,-0.083396079,-0.329474126,-0.034450299,-0.33638301,-0.079292164,-0.165336335,-1.867074429,-1.362562664,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-0.9_cz=18.1.log
1.5,-0.9,18.2,-0.4,7.3,5.9,25.5,2.2,2.1,-5.161266613,-1.105898523,-1.585240862,-0.077830065,-0.309412631,-0.030961344,-0.323682208,-0.075037646,-0.157900341,-1.939890689,-1.271925119,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-0.9_cz=18.2.log
1.5,-0.9,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.091904794,-1.227302883,-1.514313407,-0.072628008,-0.290336327,-0.027817518,-0.311301436,-0.071009032,-0.150721627,-1.969873117,-1.17845123,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=1.5_cy=-0.9_cz=18.3.log
