cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,18.4,-0.1,7.3,5.9,25.5,2.2,2.1,-5.717751892982051,-1.0944276407826692,-0.8027170670684427,-0.0247678197920322,-1.7846698155626657,-0.0214169162791222,-1.9203688530251384,-0.0542356892256066,-0.4470192986773327,-2.142137162038125,-0.2501756867859512,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=0.2_cy=1.4_cz=18.4.log
0.2,1.4,18.4,-0.2,7.3,5.9,25.5,2.2,2.1,-5.69830222055316,-1.1094000292941928,-0.7942205818835646,-0.0246611428447067,-1.7472890447825191,-0.0214922174345701,-1.9133972167037427,-0.0542984404601156,-0.4466114171082154,-2.14209323655814,-0.2500690099550411,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=0.2_cy=1.4_cz=18.4.log
0.2,1.4,18.4,-0.3,7.3,5.9,25.5,2.2,2.1,-5.670669817598537,-1.1219753297045827,-0.7832391567062587,-0.0245607413817197,-1.7012674612924457,-0.0215675185900181,-1.9037900387775155,-0.054354916093871,-0.4461847104830667,-2.1419991098809987,-0.24993095791433,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=0.2_cy=1.4_cz=18.4.log
0.2,1.4,18.4,-0.4,7.3,5.9,25.5,2.2,2.1,-5.634732319973409,-1.1321723673027009,-0.7697727922350168,-0.0244603399187326,-1.6458708785939962,-0.0216365447267889,-1.8919300998095423,-0.0544176670955494,-0.4457454534713179,-2.141848507337272,-0.2497991807758808,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=0.2_cy=1.4_cz=18.4.log
0.1,1.3,18.3,-0.1,7.3,5.9,25.5,2.2,2.1,-5.51821626292076,-0.7338541194330901,-0.4942268759477883,-0.0263491449877619,-1.9146396866999569,-0.0246611430775374,-1.9397149861324576,-0.0599774057045578,-0.5005835521733388,-2.1217368120560423,-0.2691955148475244,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.3,-0.2,7.3,5.9,25.5,2.2,2.1,-5.507206600392237,-0.7637737966142595,-0.4642507233656943,-0.02623619325459,-1.903482558904216,-0.0247678197920322,-1.9293422459159049,-0.060046431957744,-0.5001191947376356,-2.122025466756895,-0.2690888380166143,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.3,-0.3,7.3,5.9,25.5,2.2,2.1,-5.488867620762903,-0.790618674363941,-0.4309738680021837,-0.0261232412885874,-1.8864080116618425,-0.0248682212550193,-1.916773220524192,-0.0601091830758377,-0.4996422873809933,-2.122257645241916,-0.268975886516273,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.463023621530738,-0.8144138534553349,-0.3944025852251798,-0.0260102895554155,-1.862719509284944,-0.024968622950837,-1.90232794045005,-0.0601719340775162,-0.4991465543862432,-2.1224396233446896,-0.2688441092614084,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=0.1_cy=1.3_cz=18.3.log
0.1,1.3,18.4,-0.1,7.3,5.9,25.5,2.2,2.1,-5.623289675568231,-0.9585026996210216,-0.7977534630335867,-0.0247176189441233,-1.8747237757779656,-0.023079817648977,-1.87619842402637,-0.0563629482639953,-0.463673414196819,-2.073004385572858,-0.2527610280085355,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.4,-0.2,7.3,5.9,25.5,2.2,2.1,-5.614444921724498,-0.9794552586972712,-0.7763302715029567,-0.0246234924998134,-1.869854297954589,-0.0231676693074405,-1.8632528928574168,-0.0564256991492584,-0.4632718076463789,-2.0737511221086606,-0.252654351410456,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.4,-0.3,7.3,5.9,25.5,2.2,2.1,-5.5995792099274695,-0.997935428051278,-0.752409590408206,-0.0245356408413499,-1.8598706137854608,-0.0232617957517504,-1.8485001327935608,-0.0564884502673521,-0.4628451010212302,-2.074453933513724,-0.252535124309361,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.4,-0.4,7.3,5.9,25.5,2.2,2.1,-5.578501149080694,-1.0139306581113487,-0.726003969553858,-0.0244352393783628,-1.844126387732104,-0.0233370969071984,-1.8322225231677287,-0.0565512013854458,-0.4623995688743889,-2.075106543954462,-0.2524158974410966,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=0.1_cy=1.3_cz=18.4.log
0.1,1.3,18.5,-0.1,7.3,5.9,25.5,2.2,2.1,-5.5780964049045,-1.0634851227514446,-0.95836464734748,-0.0231864945963025,-1.816428096499294,-0.0215926191303879,-1.8041728262323888,-0.0529618439031764,-0.4293172414181754,-2.0149722606875,-0.2372301556169986,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.3,18.5,-0.2,7.3,5.9,25.5,2.2,2.1,-5.5707294383319095,-1.0773028929252175,-0.94348011049442,-0.0230986431706696,-1.8160641409922391,-0.0216616452671587,-1.7895832189824432,-0.0530183200025931,-0.4289721111999824,-2.0160264774458483,-0.2371172037674114,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.3,18.5,-0.3,7.3,5.9,25.5,2.2,2.1,-5.558320427546278,-1.0890687054488808,-0.9265938161406666,-0.0230107917450368,-1.811301340116188,-0.0217369464226067,-1.7734687619376928,-0.0530810711206868,-0.4286018802085891,-2.017043043510057,-0.2370042518014088,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.3,18.5,-0.4,7.3,5.9,25.5,2.2,2.1,-5.540753285167739,-1.0988013856112957,-0.9077496910467744,-0.022922940319404,-1.8015623847022653,-0.0218122475780546,-1.7561055603437126,-0.0531438220059499,-0.4282190991798416,-2.0180282342480496,-0.2368850249331444,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=0.1_cy=1.3_cz=18.5.log
0.1,1.4,18.3,-0.1,7.3,5.9,25.5,2.2,2.1,-5.59161610796582,-0.8368159604724497,-0.5937185864895582,-0.0254580806940794,-1.844923325581476,-0.0238328296691179,-1.96370469359681,-0.0582517533330246,-0.5104731100145727,-2.1213603059295565,-0.2573042004369199,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.1_cx=0.1_cy=1.4_cz=18.3.log
0.1,1.4,18.3,-0.2,7.3,5.9,25.5,2.2,2.1,-5.573412042926066,-0.8566390012856573,-0.5743912786711007,-0.0253514039795845,-1.8064632376190275,-0.0239206813275814,-1.966133157256991,-0.0583270546048879,-0.5099711018847302,-2.1214732576627284,-0.257191248703748,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.2_cx=0.1_cy=1.4_cz=18.3.log
0.1,1.4,18.3,-0.3,7.3,5.9,25.5,2.2,2.1,-5.545698063797317,-0.8735566711984575,-0.5519264205358922,-0.0252510022837668,-1.759192909579724,-0.0240210830233991,-1.964551832294092,-0.0583772551035508,-0.5094565438339487,-2.121542283683084,-0.2570720217190683,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.3_cx=0.1_cy=1.4_cz=18.3.log
0.1,1.4,18.3,-0.4,7.3,5.9,25.5,2.2,2.1,-5.508373768767342,-0.8876003450714052,-0.5262989120092243,-0.0251380507834255,-1.702327953185886,-0.0241089342162013,-1.959519201889634,-0.058446281356737,-0.5089294351637363,-2.1215611092047766,-0.2569402444642037,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_A2=-0.4_cx=0.1_cy=1.4_cz=18.3.log
