cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1.5,-0.9,18.3,7.3,5.9,25.5,-0.1,2.1,-5.037807158,-1.494647244,-1.136985369,-0.027252759,-0.32663778,-0.073983429,-0.270174431,-1.1765938,-1.974723769,-0.150715352,-0.070933731,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.3.log
-1.5,-0.7,18.3,7.3,5.9,25.5,-0.1,2.1,-5.009468806,-1.453212758,-1.257906546,-0.025263553,-0.368367195,-0.069634785,-0.323707309,-1.113930651,-1.918480048,-0.158741205,-0.069270829,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.7_cz=18.3.log
-1.5,-0.9,18.1,7.3,5.9,25.5,-0.1,2.1,-4.989758717,-1.555528264,-0.67584082,-0.033628261,-0.353093602,-0.085115456,-0.306457059,-1.360378929,-1.879944659,-0.165361435,-0.079241963,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.1.log
-1.3,-0.7,18.3,7.3,5.9,25.5,-0.1,2.1,-4.938936682,-1.291785811,-1.040869662,-0.027968121,-0.383383509,-0.068153861,-0.347540138,-1.043837785,-2.070262167,-0.172132268,-0.072853911,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.7_cz=18.3.log
-1.7,-0.9,18.3,7.3,5.9,25.5,-0.1,2.1,-4.913949233,-1.503099803,-1.24939751,-0.02480547,-0.313874227,-0.075081571,-0.249315998,-1.225884711,-1.773694666,-0.139282119,-0.067300447,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-0.9_cz=18.3.log
-1.7,-1.1,18.3,7.3,5.9,25.5,-0.1,2.1,-4.906149284,-1.481099303,-1.057831258,-0.027039406,-0.280195765,-0.079624744,-0.209738943,-1.283634456,-1.853727291,-0.132323034,-0.068699795,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.7_cy=-1.1_cz=18.3.log
-1.5,-1.1,18.1,7.3,5.9,25.5,-0.1,2.1,-4.899036459,-1.652622886,-0.332787378,-0.036621484,-0.313441245,-0.09066892,-0.255955054,-1.413365874,-1.907090741,-0.156532369,-0.080998991,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-1.1_cz=18.1.log
-1.5,-1.1,18.3,7.3,5.9,25.5,-0.1,2.1,-4.887976594,-1.511263708,-0.939156566,-0.029555721,-0.290348877,-0.078482676,-0.227447275,-1.232856347,-1.901763181,-0.1427648,-0.072464855,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-1.1_cz=18.3.log
-1.3,-0.5,18.3,7.3,5.9,25.5,-0.1,2.1,-4.877936435,-1.177001682,-1.052955505,-0.025997739,-0.435291137,-0.06403112,-0.418931951,-0.980885981,-2.057611565,-0.181419416,-0.070914905,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.5_cz=18.3.log
-1.3,-0.9,18.3,7.3,5.9,25.5,-0.1,2.1,-4.869214046,-1.399623404,-0.956538593,-0.030051454,-0.33821534,-0.072433479,-0.290386528,-1.103112379,-1.98483923,-0.162983172,-0.074654865,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.9_cz=18.3.log
