cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-1.3,-0.7,18.5,7.3,5.9,25.5,-0.1,2.1,-4.693106501479633,-1.2839231106918303,-1.1814444523770362,-0.0228727394714951,-0.3523217644542455,-0.0591553675476461,-0.3053338159807026,-0.8773593815276399,-1.9923379749525336,-0.1559048593044281,-0.0649786604335531,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.3_cy=-0.7_cz=18.5.log
0.0,1.4,18.5,7.3,5.9,25.5,-0.1,2.1,-5.576794321881607,-1.048782563302666,-1.048782563302666,-0.0216741953045129,-1.8460089180152863,-0.0216741953045129,-1.8460089180152863,-0.219879504176788,-1.926643953076564,-0.4619791370350867,-0.0518260509707033,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=0.0_cy=1.4_cz=18.5.log
1.8,0.5,18.1,7.3,5.9,25.5,-0.1,2.1,-4.336969476309605,-1.657153508393094,-1.519352312432602,-0.0549259502440691,-0.9425764959305524,-0.0157818763982504,-0.7643322804942727,-0.1754266954958439,-0.4832203506957739,-1.1008909936062992,-0.1003702245652675,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.8_cy=0.5_cz=18.1.log
-1.9,0.0,18.0,7.3,5.9,25.5,0.0,0.0,-4.538017405197024,-1.7010729333851486,-1.7010729333851486,-0.1318900517653674,-0.222314242972061,-0.2223832688760012,-0.1318900517653674,-1.0553212175145743,-1.0553212175145743,-0.186031614546664,-0.186031614546664,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-1.9_cy=0.0_cz=18.0.log
0.0,-1.4,18.5,7.3,5.9,25.5,0.0,0.0,-2.9517756642308086,-1.048782563302666,-1.048782563302666,-0.4111006262246519,-0.077804964967072,-0.4111006262246519,-0.077804964967072,-0.5002321465872228,-0.206808470771648,-0.2068147457903251,-0.5002321465872228,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=-1.4_cz=18.5.log
0.0,1.4,18.5,7.3,5.9,25.5,0.0,0.0,-2.9517756642308086,-1.048782563302666,-1.048782563302666,-0.077804964967072,-0.4111006262246519,-0.077804964967072,-0.4111006262246519,-0.2068147457903251,-0.5002321465872228,-0.5002321465872228,-0.206808470771648,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=1.4_cz=18.5.log
-1.5,-0.9,18.3,7.3,5.9,25.5,-0.1,2.1,-5.037807157845236,-1.4946472437586635,-1.136985369026661,-0.0272527593187987,-0.3266377802938223,-0.0739834289997816,-0.2701744306832552,-1.1765938001917675,-1.9747237691190087,-0.1507153519196435,-0.0709337305743247,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.3.log
-0.2,1.2,18.3,7.3,5.9,25.5,-0.1,2.1,-5.403209367650561,-0.3393511327449232,-0.644126464612782,-0.0244415146298706,-1.876041546696797,-0.0283446265384554,-1.8787649399600923,-0.2923067080555483,-2.190781737212092,-0.4636169382138178,-0.0609688715776428,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.2_cz=18.3.log
1.6,0.3,17.9,7.3,5.9,25.5,-0.1,2.1,-3.8378135096281767,-0.9633470771368592,-0.666039114119485,-0.0650978873018175,-0.9899158503394574,-0.0233433721587061,-0.7893573793116957,-0.220544664771296,-0.5737574932863936,-1.1672188008669764,-0.1277422105195,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.3_cz=17.9.log
-2.1,-0.2,17.8,7.3,5.9,25.5,0.0,0.0,-4.447684203041717,-1.9294489226304,-1.8591803528834128,-0.1671498387586325,-0.2142695647198707,-0.2613453648518771,-0.121002753265202,-0.829085037112236,-0.9760478793177754,-0.1764244363876059,-0.1899284516694024,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=-0.2_cz=17.8.log
-0.2,-1.6,18.3,7.3,5.9,25.5,0.0,0.0,-3.1021082350052893,-1.058326990576461,-0.5681663793511689,-0.5521334987133741,-0.0817645529750734,-0.5677208472043276,-0.0747489912901073,-0.6834274160210043,-0.2280434090644121,-0.2008031998993829,-0.5384035799652338,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.6_cz=18.3.log
-0.2,1.2,18.3,7.3,5.9,25.5,0.0,0.0,-2.6633563805371523,-0.3393511327449232,-0.644126464612782,-0.092469873605296,-0.4407818492036313,-0.1006212285719811,-0.4284261774737388,-0.2739708659937605,-0.6309173791669309,-0.4989457513438537,-0.2366340209264308,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.2_cz=18.3.log
-1.5,-0.9,18.5,7.3,5.9,25.5,-0.1,2.1,-4.688472340349108,-1.3188879678491503,-1.1745104668661952,-0.022163653280586,-0.3015248300507664,-0.0642319235485047,-0.2378576654009521,-0.994396271649748,-1.9339105187682435,-0.1371109350584447,-0.0634663613745942,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.5.log
-0.2,-1.6,18.5,7.3,5.9,25.5,0.0,0.0,-3.011279300786555,-1.1692205576691777,-0.94484808226116,-0.4531814469955861,-0.0734751459676772,-0.4694904319476336,-0.0668611906003207,-0.5795682361349463,-0.201261282316409,-0.1789156513987109,-0.4629957032157108,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.6_cz=18.5.log
1.6,0.3,18.1,7.3,5.9,25.5,-0.1,2.1,-4.023992588859983,-1.3724647716153413,-1.2769765749108046,-0.0578689721878618,-0.8928024028427899,-0.0194528098218143,-0.7288842406123877,-0.2015122862067073,-0.5350777771091089,-1.006199734751135,-0.1069779047975316,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.3_cz=18.1.log
-0.2,1.2,18.5,7.3,5.9,25.5,-0.1,2.1,-5.521404013969004,-0.8920933164190501,-1.0170493826735765,-0.0213227898348122,-1.7271334235556424,-0.0249246971216052,-1.7516502395737916,-0.256664140149951,-2.0938439924502745,-0.3999372234102338,-0.0538717333693057,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.2_cz=18.5.log
-2.1,-0.2,18.0,7.3,5.9,25.5,0.0,0.0,-4.382096858345904,-1.7965297545306385,-1.7868661005049944,-0.1409512963145971,-0.1947853791061788,-0.236433217767626,-0.1036207263823598,-0.963817709358409,-0.9510039553279056,-0.162681967485696,-0.1749999888706952,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=-0.2_cz=18.0.log
-1.5,-0.9,18.7,7.3,5.9,25.5,-0.1,2.1,-4.175043658469804,-1.1042230718303472,-1.0412838188931346,-0.0178401092998683,-0.2778488777112216,-0.0557668136898428,-0.209851894294843,-0.8285077281761914,-1.811759422183968,-0.1245607349555939,-0.0568084802944213,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.9_cz=18.7.log
-0.2,-1.6,18.7,7.3,5.9,25.5,0.0,0.0,-2.673321239533834,-1.0573669001460075,-0.960598582867533,-0.3697037913370877,-0.0659324757289141,-0.3860253267921507,-0.0597013013903051,-0.4897025290410965,-0.1774284524144604,-0.1592369376448914,-0.3972891313023865,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.6_cz=18.7.log
-0.2,1.2,18.5,7.3,5.9,25.5,0.0,0.0,-2.8177834540838376,-0.8920933164190501,-1.0170493826735765,-0.082128508714959,-0.3668235207442194,-0.0898468818049877,-0.3533759813290089,-0.2403175046201795,-0.5361508191563189,-0.4306601129937917,-0.2099962214706465,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.2_cz=18.5.log
1.6,0.3,18.3,7.3,5.9,25.5,-0.1,2.1,-3.804561754688621,-1.4351090949494392,-1.4044113056734204,-0.0513930688612163,-0.7914532625582069,-0.0160705312155187,-0.671040368732065,-0.1837976791430264,-0.498236664920114,-0.8476593332597986,-0.0901292613707482,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.3_cz=18.3.log
-0.2,1.2,18.7,7.3,5.9,25.5,-0.1,2.1,-5.194214025163092,-0.9925388421397656,-1.044371168129146,-0.018561745993793,-1.5664908634498715,-0.0218812737148255,-1.5907943260390311,-0.2249184093670919,-1.9598266817629333,-0.3445531908655539,-0.0475966334342956,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.2_cz=18.7.log
-1.5,-0.7,18.3,7.3,5.9,25.5,-0.1,2.1,-5.009468806092627,-1.4532127582933754,-1.257906546117738,-0.0252635527867823,-0.3683671953622252,-0.0696347849443554,-0.3237073086202144,-1.1139306514523923,-1.918480047956109,-0.1587412046501413,-0.0692708289716392,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.7_cz=18.3.log
-0.2,-1.4,18.3,7.3,5.9,25.5,0.0,0.0,-2.944763240055181,-0.917350593721494,-0.5149786316324025,-0.4880521774757653,-0.0906312693841755,-0.501863672863692,-0.0830634988378733,-0.6586784217506647,-0.2503011886728927,-0.2182793533429503,-0.5195343543309718,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.4_cz=18.3.log
-2.1,-0.2,18.2,7.3,5.9,25.5,0.0,0.0,-4.0182414597366005,-1.5815009027719498,-1.5852032117545605,-0.1188001930713653,-0.1766691654920578,-0.2132843739818781,-0.0885353861376643,-0.956049135653302,-0.8695092315319926,-0.1497427112190053,-0.1609437647275626,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=-0.2_cz=18.2.log
-0.2,1.2,18.7,7.3,5.9,25.5,0.0,0.0,-2.6142192106926814,-0.9925388421397656,-1.044371168129146,-0.0728350856807082,-0.3041478218510747,-0.0800828263163566,-0.2902610257733613,-0.2104794043116271,-0.4543486156035214,-0.3712788418633863,-0.18599396396894,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.2_cz=18.7.log
1.6,0.5,17.9,7.3,5.9,25.5,-0.1,2.1,-4.028140430222265,-1.1573606187012049,-0.5208709505386651,-0.0606927671469748,-1.0685365782119334,-0.021404366241768,-0.8998305145651102,-0.2100652476074174,-0.5967620101291686,-1.2380395795917138,-0.1189256951911374,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.5_cz=17.9.log
-1.5,-0.7,18.5,7.3,5.9,25.5,-0.1,2.1,-4.751311191706918,-1.322038067970425,-1.2440009242855012,-0.0205321272369474,-0.3394703599624336,-0.0606739418581128,-0.2839294497389346,-0.940160582307726,-1.9694966109236705,-0.1443021994782611,-0.0620293634710833,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.7_cz=18.5.log
-0.2,-1.4,18.5,7.3,5.9,25.5,0.0,0.0,-2.954103726428002,-1.1354981705080718,-0.9591678602155298,-0.4014118718914687,-0.0811809687875211,-0.4160705055110156,-0.0740399048663675,-0.5588478556601331,-0.2200991325080394,-0.1940574673935771,-0.4474146299762651,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.4_cz=18.5.log
-2.1,0.0,17.8,7.3,5.9,25.5,0.0,0.0,-4.482448257156648,-1.905314888106659,-1.905314888106659,-0.1415537057910114,-0.2365147941745817,-0.2365775450598448,-0.1415537057910114,-0.9162461763480678,-0.9162461763480678,-0.1832705704728141,-0.1832705704728141,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=0.0_cz=17.8.log
-0.2,1.4,18.3,7.3,5.9,25.5,-0.1,2.1,-5.601201323210262,-0.5149786316324025,-0.917350593721494,-0.0227974383160471,-1.973663277225569,-0.0264746469911187,-1.8083834184799343,-0.2667419508798048,-2.16275714058429,-0.4822916358243674,-0.0575865927385166,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.3.log
-0.2,1.4,18.3,7.3,5.9,25.5,0.0,0.0,-2.944763240055181,-0.5149786316324025,-0.917350593721494,-0.0830634988378733,-0.501863672863692,-0.0906312693841755,-0.4880521774757653,-0.2503011886728927,-0.6586784217506647,-0.5195343543309718,-0.2182793533429503,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.4_cz=18.3.log
-1.5,-0.7,18.7,7.3,5.9,25.5,-0.1,2.1,-4.285413254634477,-1.1218247273936868,-1.0815574107691646,-0.0165537137072533,-0.3122427007183432,-0.0528551670722663,-0.248155104694888,-0.7821284640813246,-1.9001818561227992,-0.1309487868566066,-0.0555597353959456,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.7_cz=18.7.log
-0.2,-1.4,18.7,7.3,5.9,25.5,0.0,0.0,-2.663193227839656,-1.0714042987674477,-0.9981174059212208,-0.3284952098038047,-0.0725903566926717,-0.3431789437308907,-0.0659011001698672,-0.4728538853814825,-0.1934487828984856,-0.1722514950670302,-0.3847954069497064,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.4_cz=18.7.log
