a,b,theta,R3,R4,cx,cz,cy,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,5.9,25.5,-0.1,2.1,-1.6,18.2,-1,-5.05176298,-1.598851554,-0.978237889,-0.030151855,-0.314031105,-0.082404613,-0.252936731,-1.324121401,-1.877811125,-0.147747229,-0.073776351,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-1.0_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,-1.6,18.3,-1,-4.994408565,-1.508439914,-1.110429146,-0.027077056,-0.302277842,-0.076832324,-0.237707063,-1.235598565,-1.91641554,-0.141158374,-0.069854413,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-1.0_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,-1.6,18.4,-1,-4.84565732,-1.404022249,-1.150627436,-0.024341113,-0.29083206,-0.071611441,-0.223550437,-1.14331067,-1.91891303,-0.134807973,-0.066133279,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-1.0_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-0.3,18.4,1.3,-5.687427472,-0.720155576,-1.060592301,-0.021140812,-1.863127391,-0.026587599,-1.819860576,-0.271260023,-2.189526717,-0.415775576,-0.055133029,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.3_cy=1.3_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.5,1.4,-5.69921211,-0.95916786,-1.135498171,-0.019954818,-1.862989339,-0.023343372,-1.786552346,-0.234751491,-2.104800317,-0.414947262,-0.050960087,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.5.log
7.3,5.9,25.5,-0.1,2.1,2,17.9,0.5,-4.444709806,-1.856871116,-1.619484083,-0.061834835,-0.927886487,-0.016936495,-0.755716568,-0.173908121,-0.448550423,-1.082046869,-0.120839601,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.5_cz=17.9.log
7.3,5.9,25.5,-0.1,2.1,-1.6,18.2,-0.9,-5.051741017,-1.586414306,-1.098148775,-0.02887801,-0.333000732,-0.079938499,-0.276913888,-1.29396327,-1.831469511,-0.151687992,-0.072973138,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-0.9_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,-0.3,18.5,1.3,-5.676819416,-0.905660083,-1.125828241,-0.019728915,-1.790235829,-0.024974898,-1.77398332,-0.253934472,-2.164137663,-0.386659112,-0.051882527,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.3_cy=1.3_cz=18.5.log
7.3,5.9,25.5,-0.1,2.1,1.9,17.8,0.4,-4.392933956,-1.714545573,-1.324309654,-0.0674385,-0.959682418,-0.020670179,-0.770406577,-0.194258271,-0.488918141,-1.143862879,-0.137368214,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.9_cy=0.4_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-1.6,18.3,-0.9,-5.018906556,-1.508452464,-1.201581248,-0.025978914,-0.320368955,-0.074579564,-0.25978914,-1.205703989,-1.903827689,-0.144892059,-0.069107676,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.6_cy=-0.9_cz=18.3.log
