a,cx,cz,cy,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,0.2,18.5,1.4,5.9,25.5,2.2,2.1,-5.69921211025212,,,-1.1354981705080718,-0.9591678602155298,-0.0233433719258755,-1.7865523456130177,-0.0199548180680722,-1.862989338580519,-0.0509600871009752,-0.4149472624994814,-2.104800317203626,-0.2347514909924939,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.2_cy=1.4_cz=18.5.log
7.3,1.5,18.3,-0.9,5.9,25.5,2.2,2.1,-5.0377757822861895,,,-1.136985369026661,-1.4946472437586635,-0.0739834289997816,-0.2701744306832552,-0.0272527593187987,-0.3265750291757285,-0.0709337305743247,-0.1507153519196435,-1.9747237691190087,-1.1765938001917675,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.5_cy=-0.9_cz=18.3.log
7.3,-2.0,17.9,0.5,5.9,25.5,2.2,2.1,-4.444763144478202,,,-1.619477808009833,-1.856871115975082,-0.0169364947360008,-0.7558232448063791,-0.0618411106988787,-0.9278864867519588,-0.1208396008005365,-1.0820468686288225,-0.4485504231415689,-0.1739081214182078,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.0_cy=0.5_cz=17.9.log
7.3,-1.9,17.8,0.0,5.9,25.5,0.0,0.0,-4.611501963809133,,,-1.5608558238018304,-1.5608558238018304,-0.1549635943956673,-0.2460654962342232,-0.2461282473523169,-0.1549635943956673,-1.122238883865066,-1.122238883865066,-0.2025539530441165,-0.2025539530441165,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-1.9_cy=0.0_cz=17.8.log
7.3,0.0,18.3,-2.0,5.9,25.5,0.0,0.0,-3.178601704072207,,,-0.7729981935117394,-0.7729981935117394,-0.6980044734664261,-0.064112696563825,-0.6980044734664261,-0.064112696563825,-0.6430910732597113,-0.178652097005397,-0.178652097005397,-0.6430910732597113,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=0.0_cy=-2.0_cz=18.3.log
7.3,0.1,18.4,1.3,5.9,25.5,2.2,2.1,-5.626273485599086,,,-0.935109127080068,-0.8166728895157576,-0.0248180204071104,-1.875081456266344,-0.0229982417076826,-1.8869664957746863,-0.0562939220108091,-0.4640750203980133,-2.0722137229749933,-0.2528677048394456,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.3_cz=18.4.log
7.3,1.4,18.2,-1.0,5.9,25.5,2.2,2.1,-4.961856484529562,,,-0.7308797221630812,-1.525068928487599,-0.0811119426507502,-0.2729605748318136,-0.0330697768367826,-0.3257780915591866,-0.0778865412576124,-0.1598707227967679,-1.9732993214856835,-1.266365380724892,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-1.0_cz=18.2.log
7.3,-2.1,17.8,0.4,5.9,25.5,2.2,2.1,-4.318338704295456,,,-1.7520518456585703,-1.9474145339336248,-0.0184864443726837,-0.707322996808216,-0.0676079273689538,-0.8986005950719118,-0.138472631573677,-0.8829630458494648,-0.4248368202243,-0.1763240350410342,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.4_cz=17.8.log
7.3,-2.0,17.7,-0.1,5.9,25.5,0.0,0.0,-4.475868815323338,,,-1.7075927623081952,-1.6144765531644223,-0.1746674084570258,-0.2408571632113307,-0.2668423522263765,-0.1481300108134746,-0.9598706716205924,-1.0383784477598963,-0.1968373368727043,-0.2044992339797318,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=-0.1_cz=17.7.log
7.3,-0.1,18.2,-2.1,5.9,25.5,0.0,0.0,-3.10562229109928,,,-0.7087913702707738,-0.2726530951913446,-0.7650162661448121,-0.0656249958556145,-0.7998054204508662,-0.0626317730639129,-0.7461156651843339,-0.1854417551076039,-0.1755208221729844,-0.6612825881456956,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-2.1_cz=18.2.log
7.3,1.4,18.3,-1.0,5.9,25.5,2.2,2.1,-4.910645393538289,,,-0.970983873354271,-1.4856236500199884,-0.0754706275183707,-0.2567519915755838,-0.0297376988455653,-0.3131525905337184,-0.0736006480874493,-0.1524974801577627,-1.9481612709350884,-1.170525778434239,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-1.0_cz=18.3.log
7.3,0.1,18.5,1.3,5.9,25.5,2.2,2.1,-5.580518593662418,,,-1.0476530452724546,-0.9711909519974142,-0.0232680707704275,-1.812907765386626,-0.0215173179749399,-1.816955205053091,-0.0528990930179134,-0.4296623721020296,-2.0138803931185976,-0.237330557196401,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.3_cz=18.5.log
